Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,MACD,Signal_Line,Histogram
2024-09-05 00:00:00-04:00,223.49000549316406,235.0,222.25,230.1699981689453,119355000,0.0,0.0,,,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,232.60000610351562,233.60000610351562,210.50999450683594,210.72999572753906,112177000,0.0,0.0,,,-1.5507694255252602,-0.31015388510505204,-1.2406155404202082
2024-09-09 00:00:00-04:00,216.1999969482422,219.8699951171875,213.6699981689453,216.27000427246094,67443500,0.0,0.0,,,-2.306149126549599,-0.7093529333939614,-1.5967961931556374
2024-09-10 00:00:00-04:00,220.07000732421875,226.39999389648438,218.63999938964844,226.1699981689453,78891100,0.0,0.0,,,-2.0819468250508066,-0.9838717117253305,-1.0980751133254762
2024-09-11 00:00:00-04:00,224.5500030517578,228.47000122070312,216.8000030517578,228.1300048828125,83548600,0.0,0.0,222.29400024414062,,-1.7262100495503887,-1.1323393792903422,-0.5938706702600465
2024-09-12 00:00:00-04:00,224.66000366210938,231.4499969482422,223.8300018310547,229.80999755859375,72020000,0.0,0.0,222.2220001220703,,-1.2938104815085296,-1.1646335997339798,-0.12917688177454978
2024-09-13 00:00:00-04:00,228.0,232.6699981689453,226.32000732421875,230.2899932861328,59515100,0.0,0.0,226.13399963378907,,-0.9020013547033159,-1.112107150727847,0.21010579602453117
2024-09-16 00:00:00-04:00,229.3000030517578,229.9600067138672,223.52999877929688,226.77999877929688,54323000,0.0,0.0,228.23599853515626,,-0.8647487361880621,-1.0626354678198902,0.19788673163182802
2024-09-17 00:00:00-04:00,229.4499969482422,234.57000732421875,226.5500030517578,227.8699951171875,66761600,0.0,0.0,228.57599792480468,,-0.7387562504405594,-0.997859624344024,0.2591033739034646
2024-09-18 00:00:00-04:00,230.08999633789062,235.67999267578125,226.8800048828125,227.1999969482422,78010200,0.0,0.0,228.38999633789064,,-0.6850724616888044,-0.9353021918129801,0.2502297301241757
2024-09-19 00:00:00-04:00,234.0,244.24000549316406,232.1300048828125,243.9199981689453,102694600,0.0,0.0,231.21199645996094,,0.6985838515111311,-0.6085249831481578,1.307108834659289
2024-09-20 00:00:00-04:00,241.52000427246094,243.99000549316406,235.9199981689453,238.25,99879100,0.0,0.0,232.8039978027344,,1.3223764497831212,-0.2223446965619021,1.5447211463450232
2024-09-23 00:00:00-04:00,242.61000061035156,250.0,241.9199981689453,250.0,86927200,0.0,0.0,237.447998046875,,2.7333549646710935,0.3687952356846971,2.3645597289863964
2024-09-24 00:00:00-04:00,254.0800018310547,257.19000244140625,249.0500030517578,254.27000427246094,88491000,0.0,0.0,242.72799987792968,,4.14830023921354,1.1246962363904658,3.023604002823075
